estrategia,semilla,resultado,victoria,victimas_rescatadas,victimas_perdidas,victimas_reveladas,falsas_alarmas,danio_estructural,turnos,derribos,replanificaciones,celdas_recorridas,ap_gastados,ap_desperdiciados,fuegos_apagados,humos_apagados,paredes_cortadas,fuegos_al_final,tiempo_ms
aleatoria,0,derrota_colapso,0,1,1,1,3,24,24,33,0,36,100,0,16,1,14,16,6.34
aleatoria,1,derrota_colapso,0,1,0,1,2,24,21,35,0,25,88,0,15,0,14,18,3.67
aleatoria,2,derrota_colapso,0,0,1,2,3,24,26,7,0,58,108,0,8,5,12,22,5.95
aleatoria,3,derrota_colapso,0,0,0,0,1,24,15,10,0,22,64,0,10,1,10,16,3.25
aleatoria,4,derrota_colapso,0,0,0,0,1,24,17,29,0,26,72,0,7,0,16,17,3.45
aleatoria,5,derrota_colapso,0,0,0,1,2,24,21,34,0,35,86,0,8,1,16,18,4.46
aleatoria,6,derrota_colapso,0,0,1,0,1,24,28,19,0,42,116,0,13,6,20,14,5.52
aleatoria,7,derrota_colapso,0,0,1,0,1,24,18,34,0,25,76,0,12,2,14,17,3.57
aleatoria,8,derrota_colapso,0,0,1,2,1,24,14,12,0,22,60,0,9,0,11,19,2.69
aleatoria,9,derrota_colapso,0,0,0,0,2,24,18,39,0,34,76,0,10,2,7,18,3.54
aleatoria,10,derrota_colapso,0,0,2,0,2,24,18,13,0,31,76,0,7,2,13,17,3.92
aleatoria,11,derrota_colapso,0,0,0,2,2,24,27,4,0,40,112,0,10,7,21,7,4.72
aleatoria,12,derrota_colapso,0,0,2,2,1,24,31,20,0,67,128,0,14,3,11,19,4.83
aleatoria,13,derrota_colapso,0,0,0,0,2,24,17,20,0,33,72,0,12,2,8,15,2.62
aleatoria,14,derrota_colapso,0,0,0,0,1,24,17,12,0,30,72,0,6,2,14,18,2.55
aleatoria,15,derrota_colapso,0,0,0,0,1,24,23,29,0,36,94,0,14,0,14,13,3.26
aleatoria,16,derrota_colapso,0,0,0,1,1,24,16,8,0,22,67,0,9,3,11,17,2.39
aleatoria,17,derrota_colapso,0,0,0,1,1,24,21,24,0,31,88,0,10,5,15,15,3.08
aleatoria,18,derrota_colapso,0,0,2,0,1,24,29,24,0,52,120,0,14,4,15,19,4.29
aleatoria,19,derrota_colapso,0,0,1,0,0,24,20,9,0,35,84,0,13,3,9,19,3.05
aleatoria,20,derrota_colapso,0,0,1,0,1,24,19,24,0,29,80,0,10,3,13,19,2.8
aleatoria,21,derrota_colapso,0,0,0,0,2,24,21,35,0,33,88,0,10,2,15,19,2.78
aleatoria,22,derrota_colapso,0,0,0,1,1,24,13,19,0,18,56,0,5,0,11,20,1.95
aleatoria,23,derrota_colapso,0,0,1,0,1,24,31,27,0,53,128,0,19,4,14,21,4.5
aleatoria,24,derrota_colapso,0,0,1,1,2,24,29,14,0,59,120,0,15,1,13,14,4.22
aleatoria,25,derrota_colapso,0,0,0,2,1,24,23,31,0,34,96,0,14,2,16,16,3.66
aleatoria,26,derrota_colapso,0,0,0,2,4,24,18,6,0,32,76,0,8,5,10,13,2.67
aleatoria,27,derrota_colapso,0,0,0,0,1,24,18,14,0,35,76,0,5,1,13,17,2.66
aleatoria,28,derrota_colapso,0,0,1,0,1,24,27,21,0,63,112,0,12,2,11,23,4.57
aleatoria,29,derrota_colapso,0,0,1,1,1,24,21,20,0,39,88,0,7,2,15,19,3.16
aleatoria,30,derrota_colapso,0,0,3,1,2,24,22,7,0,38,92,0,13,3,11,19,3.14
aleatoria,31,derrota_colapso,0,0,1,0,1,24,19,8,0,30,80,0,7,4,15,17,2.96
aleatoria,32,derrota_colapso,0,1,2,3,1,24,26,23,0,49,108,0,13,5,13,9,4.13
aleatoria,33,derrota_colapso,0,0,1,0,1,24,26,26,0,49,108,0,15,3,11,22,3.77
aleatoria,34,derrota_colapso,0,0,0,0,1,24,26,13,0,41,108,0,12,3,18,18,3.97
aleatoria,35,derrota_colapso,0,0,0,0,2,24,21,35,0,29,88,0,13,1,13,20,2.99
aleatoria,36,derrota_colapso,0,0,2,0,2,24,44,35,0,86,180,0,22,8,16,24,6.33
aleatoria,37,derrota_colapso,0,0,1,1,1,24,27,25,0,45,112,0,21,1,12,23,4.28
aleatoria,38,derrota_colapso,0,0,0,0,1,24,10,16,0,14,44,0,4,0,10,18,8.49
aleatoria,39,derrota_colapso,0,0,2,0,1,24,17,24,0,22,72,0,13,0,13,20,2.8
aleatoria,40,derrota_colapso,0,0,0,0,1,24,15,29,0,16,64,0,11,0,12,20,2.1
