estrategia,semilla,resultado,victoria,victimas_rescatadas,victimas_perdidas,victimas_reveladas,falsas_alarmas,danio_estructural,turnos,derribos,replanificaciones,celdas_recorridas,ap_gastados,ap_desperdiciados,fuegos_apagados,humos_apagados,paredes_cortadas,fuegos_al_final,tiempo_ms
mejorada,0,victoria,1,7,0,8,5,8,23,14,5,56,96,0,13,4,0,7,18.34
mejorada,1,victoria,1,7,1,9,5,15,38,9,1,80,156,0,23,8,0,16,29.33
mejorada,2,derrota_colapso,0,6,2,9,5,24,58,9,2,122,224,4,23,20,0,21,50.6
mejorada,3,derrota_colapso,0,2,2,5,2,24,27,9,3,60,112,0,14,6,0,14,22.23
mejorada,4,victoria,1,7,2,8,5,21,48,5,5,107,195,0,22,16,0,17,45.89
mejorada,5,derrota_colapso,0,5,3,6,5,24,45,11,4,108,183,0,15,19,0,11,43.33
mejorada,6,victoria,1,7,2,9,5,14,50,10,3,109,203,0,27,15,0,5,44.59
mejorada,7,derrota_colapso,0,2,1,6,5,24,31,9,3,80,127,0,15,4,0,18,34.33
mejorada,8,derrota_victimas,0,0,4,2,3,18,23,6,0,49,96,0,15,7,0,19,24.29
mejorada,9,derrota_colapso,0,5,1,9,4,24,39,10,3,87,159,0,14,14,0,22,32.13
mejorada,10,derrota_victimas,0,2,4,5,3,11,20,6,1,43,83,0,14,6,0,9,29.19
mejorada,11,victoria,1,7,2,9,5,11,46,6,3,101,188,0,20,17,0,13,43.69
mejorada,12,victoria,1,7,0,7,4,3,20,5,2,54,84,0,8,6,0,10,22.07
mejorada,13,victoria,1,7,1,9,5,17,50,6,2,123,204,0,16,16,0,19,40.81
mejorada,14,derrota_colapso,0,6,2,8,5,24,44,9,2,108,179,0,13,11,0,19,32.49
mejorada,15,derrota_colapso,0,5,3,8,5,24,34,10,3,78,138,0,16,7,0,20,28.31
mejorada,16,derrota_colapso,0,6,1,9,5,24,41,11,1,93,167,0,14,20,0,18,24.43
mejorada,17,victoria,1,7,3,9,5,21,48,8,3,119,196,0,23,11,0,17,33.84
mejorada,18,victoria,1,7,1,8,4,11,39,4,1,95,159,0,10,16,0,14,35.08
mejorada,19,derrota_colapso,0,6,2,9,5,24,42,10,3,98,172,0,19,14,0,20,31.85
mejorada,20,victoria,1,7,3,8,5,18,48,8,2,116,196,0,16,17,0,18,34.07
mejorada,21,derrota_colapso,0,0,2,6,5,24,37,11,3,92,150,0,14,7,0,18,30.79
mejorada,22,victoria,1,7,1,9,5,16,37,13,3,83,151,0,19,7,0,17,25.1
mejorada,23,victoria,1,7,0,9,5,11,36,4,3,93,148,0,8,14,0,13,34.47
mejorada,24,derrota_victimas,0,3,4,6,3,4,29,8,3,74,120,0,12,9,0,10,31.21
mejorada,25,victoria,1,7,1,10,5,11,40,4,3,96,164,0,11,18,0,13,35.8
mejorada,26,victoria,1,7,1,8,5,16,42,7,6,102,171,0,15,11,0,15,39.87
mejorada,27,victoria,1,7,1,8,4,18,50,5,4,122,204,0,12,19,0,16,35.98
mejorada,28,derrota_colapso,0,6,2,8,5,24,58,8,3,127,235,0,23,20,0,19,43.54
mejorada,29,victoria,1,7,1,8,5,13,39,8,2,93,160,0,14,9,0,17,29.19
mejorada,30,victoria,1,7,1,7,3,17,50,8,4,109,204,0,22,15,0,20,40.5
mejorada,31,derrota_colapso,0,5,2,8,5,24,41,7,2,93,168,0,20,11,0,17,33.58
mejorada,32,victoria,1,7,2,8,5,8,44,8,2,111,180,0,13,17,0,6,36.05
mejorada,33,derrota_colapso,0,3,1,7,1,24,31,8,2,67,126,0,17,7,0,21,26.03
mejorada,34,victoria,1,7,1,10,5,15,63,6,4,136,252,0,21,21,0,18,44.01
mejorada,35,derrota_colapso,0,6,3,9,5,24,51,11,4,100,198,6,26,12,0,15,31.22
mejorada,36,victoria,1,7,0,9,4,6,43,4,4,106,175,0,9,22,0,11,35.1
mejorada,37,victoria,1,7,1,9,5,3,36,4,1,86,145,0,14,9,0,17,23.73
mejorada,38,derrota_colapso,0,0,1,4,3,24,32,4,1,70,130,0,20,8,0,12,34.83
mejorada,39,victoria,1,7,1,9,4,19,39,5,2,92,160,0,8,13,0,22,29.36
mejorada,40,derrota_colapso,0,5,3,6,5,24,60,16,6,131,244,0,33,18,0,16,56.98
mejorada,41,derrota_colapso,0,6,3,7,5,24,50,4,1,133,204,0,11,17,0,26,37.44
mejorada,42,derrota_colapso,0,6,3,9,5,24,51,16,2,115,207,0,27,13,0,21,37.38
mejorada,43,derrota_colapso,0,5,2,7,5,24,45,5,3,110,183,0,15,15,0,18,41.33
mejorada,44,victoria,1,7,0,9,5,20,38,4,2,88,156,0,15,13,0,12,30.74
mejorada,45,victoria,1,7,2,8,4,18,41,5,1,94,168,0,11,19,0,16,46.84
mejorada,46,victoria,1,7,2,8,4,18,47,17,3,104,192,0,19,11,0,18,30.18
mejorada,47,derrota_colapso,0,1,2,4,2,24,30,10,2,69,124,0,12,10,0,20,21.44
mejorada,48,victoria,1,7,1,9,4,19,28,5,0,58,109,0,15,4,0,13,27.68
mejorada,49,derrota_colapso,0,5,2,7,5,24,30,6,2,66,123,0,15,6,0,18,22.64
mejorada,50,victoria,1,7,2,7,4,11,22,5,2,60,92,0,7,7,0,13,21.54
mejorada,51,derrota_colapso,0,3,3,7,5,24,33,6,2,73,135,0,19,7,0,16,27.59
mejorada,52,victoria,1,7,2,7,3,17,31,4,6,78,128,0,14,7,0,11,26.94
mejorada,53,derrota_colapso,0,2,3,7,5,24,39,17,1,68,125,19,20,7,0,25,29.12
mejorada,54,victoria,1,7,0,9,5,14,34,5,2,83,140,0,10,12,0,15,34.29
mejorada,55,derrota_victimas,0,4,4,9,5,19,44,13,4,97,180,0,23,14,0,17,32.76
mejorada,56,derrota_colapso,0,4,0,7,4,24,30,17,2,60,123,0,25,2,0,14,22.33
mejorada,57,derrota_colapso,0,1,0,4,2,24,34,8,3,83,140,0,13,10,0,23,38.54
mejorada,58,derrota_colapso,0,4,2,7,4,24,32,7,0,73,131,0,12,10,0,20,21.6
mejorada,59,victoria,1,7,0,8,5,22,45,5,3,106,184,0,14,12,0,21,46.22
mejorada,60,derrota_colapso,0,3,1,7,4,24,36,11,3,84,147,0,13,10,0,22,36.11
mejorada,61,victoria,1,7,2,10,5,22,44,13,3,89,179,0,27,11,0,15,28.58
mejorada,62,derrota_victimas,0,4,4,9,5,21,47,15,2,99,190,0,22,13,0,24,34.33
mejorada,63,derrota_colapso,0,5,0,8,4,24,42,4,6,99,172,0,18,9,0,15,34.15
mejorada,64,derrota_colapso,0,1,1,4,3,24,31,4,1,80,127,0,11,10,0,15,32.18
mejorada,65,derrota_colapso,0,6,2,7,4,24,47,4,3,116,191,0,17,13,0,19,49.23
