estrategia,semilla,resultado,victoria,victimas_rescatadas,victimas_perdidas,victimas_reveladas,falsas_alarmas,danio_estructural,turnos,derribos,replanificaciones,celdas_recorridas,ap_gastados,ap_desperdiciados,fuegos_apagados,humos_apagados,paredes_cortadas,fuegos_al_final,tiempo_ms
mejorada_sin_coordinacion,0,victoria,1,7,0,8,5,8,23,14,3,52,96,0,13,7,0,7,18.28
mejorada_sin_coordinacion,1,victoria,1,7,1,8,4,18,33,5,0,76,135,0,16,4,0,19,31.0
mejorada_sin_coordinacion,2,victoria,1,7,1,7,5,9,36,4,4,85,148,0,10,19,0,6,33.01
mejorada_sin_coordinacion,3,derrota_colapso,0,5,2,8,2,24,50,4,1,108,204,0,25,15,0,15,39.34
mejorada_sin_coordinacion,4,derrota_colapso,0,5,2,6,2,24,45,10,2,100,184,0,24,13,0,20,44.1
mejorada_sin_coordinacion,5,derrota_victimas,0,2,4,4,5,9,24,4,2,65,100,0,7,10,0,11,24.22
mejorada_sin_coordinacion,6,derrota_victimas,0,6,4,8,4,13,38,11,3,92,156,0,18,9,0,13,39.11
mejorada_sin_coordinacion,7,derrota_colapso,0,4,3,7,4,24,32,9,2,82,132,0,16,4,0,16,37.1
mejorada_sin_coordinacion,8,derrota_victimas,0,1,5,4,5,18,23,12,2,57,94,0,11,6,0,21,24.15
mejorada_sin_coordinacion,9,derrota_colapso,0,5,3,9,5,24,53,9,0,112,200,12,24,22,0,13,48.14
mejorada_sin_coordinacion,10,derrota_victimas,0,2,4,4,3,11,20,5,2,47,83,0,13,6,0,10,26.45
mejorada_sin_coordinacion,11,victoria,1,7,0,8,4,17,55,6,3,128,222,0,19,22,0,15,56.51
mejorada_sin_coordinacion,12,victoria,1,7,1,7,3,7,30,6,1,81,124,0,12,11,0,11,30.16
mejorada_sin_coordinacion,13,victoria,1,7,1,9,5,17,50,6,2,125,204,0,20,15,0,16,38.34
mejorada_sin_coordinacion,14,victoria,1,7,2,8,5,23,52,15,1,118,206,0,21,19,0,14,38.61
mejorada_sin_coordinacion,15,derrota_colapso,0,4,3,5,5,24,39,14,2,79,160,0,32,7,0,14,42.4
mejorada_sin_coordinacion,16,derrota_colapso,0,6,1,9,5,24,48,4,2,122,196,0,16,21,0,25,41.03
mejorada_sin_coordinacion,17,derrota_colapso,0,6,3,7,5,24,38,9,1,96,156,0,16,8,0,18,31.86
mejorada_sin_coordinacion,18,victoria,1,7,2,7,4,11,38,6,0,99,156,0,11,14,0,13,63.19
mejorada_sin_coordinacion,19,derrota_colapso,0,5,3,6,3,24,41,8,0,96,168,0,20,15,0,17,131.78
mejorada_sin_coordinacion,20,derrota_victimas,0,2,4,8,5,17,53,7,6,133,215,0,18,18,0,20,145.62
mejorada_sin_coordinacion,21,derrota_colapso,0,1,2,4,5,24,37,10,1,92,151,0,16,6,0,18,111.11
mejorada_sin_coordinacion,22,victoria,1,7,2,8,5,16,40,13,2,91,161,0,21,10,0,16,82.57
mejorada_sin_coordinacion,23,victoria,1,7,0,9,5,14,39,4,0,101,156,0,8,17,0,13,98.69
mejorada_sin_coordinacion,24,derrota_victimas,0,5,4,6,4,18,44,4,2,115,180,0,13,15,0,14,99.15
